Æò±Õ±â¿Â,Æò±Õ½Àµµ,Æò±ÕÇ³¼Ó,Ã¼°¨¿Âµµ,Æò±ÕÀü¿î·®,½Ã±º±¸,¿äÀÏ,Diff,SUM
3.099999905,71.30000305,0.400000006,4.307781611,6.1,1,4,7.699999988,1239
2.700000048,72.19999695,0.800000012,2.703315439,6.1,3,4,7.200000167,598
3.700000048,72,1,3.385456591,6.1,4,4,8.000000119,1442
3.900000095,56.20000076,1,3.604055575,6.1,5,4,7.400000095,971
3.200000048,73.5,1,2.83895926,6.1,6,4,7.999999761,305
3.900000095,64.30000305,1.700000048,2.617780157,6.1,7,4,7.300000094,574
4,63.5,1.399999976,3.099581644,6.1,8,4,8.600000203,372
2.700000048,77.19999695,0.600000024,3.213104155,6.1,9,4,7.900000215,770
1.600000024,76.09999847,0,14.10000001,6.1,10,4,9.400000096,324
2.799999952,75.19999695,1.5,1.622105703,6.1,11,4,7.700000047,429
4.300000191,19.60000038,1.5,3.306793791,6.1,12,4,7.800000369,475
3.200000048,71.5,1.200000048,2.499568631,6.1,13,4,9.000000239,738
2.799999952,66.80000305,1.899999976,1.145193453,6.1,14,4,8.700000048,775
4.099999905,63.70000076,1.200000048,3.495253485,6.1,15,4,8.300000012,838
3.5,70.69999695,1.299999952,2.681296969,6.1,16,4,8.199999809,475
2.700000048,73,0.800000012,2.703315439,6.1,17,4,6.900000095,696
2.900000095,74.19999695,0.600000024,3.424614708,6.1,18,4,9.5,912
4.300000191,66.40000153,1.299999952,3.571122281,6.1,19,4,7.900000192,379
3.900000095,69.80000305,1.899999976,2.400905166,6.1,20,4,7.999999821,976
3.5,46.5,1,3.166857606,6.1,21,4,8.300000071,620
2.900000095,68.80000305,1.700000048,1.484977664,6.1,22,4,8.500000119,736
3.599999905,64.59999847,0.800000012,3.672775441,6.1,23,4,8.099999815,461
3,72.80000305,1.100000024,2.442715156,6.1,24,4,7.100000083,527
3,67.09999847,1.899999976,1.373504698,3.9,1,5,5.800000191,1773
2.900000095,69,1.700000048,1.484977664,3.9,3,5,7.400000095,992
2.900000095,72.19999695,1.799999952,1.369498377,3.9,4,5,7.200000048,2383
3.299999952,58.20000076,2.299999952,1.325659864,3.9,5,5,7.699999809,1440
3.599999905,67.19999695,2.200000048,1.7634681,3.9,6,5,6.200000107,431
3.099999905,67,2.700000048,0.755309227,3.9,7,5,6.800000071,893
3.599999905,63.70000076,2.400000095,1.585306804,3.9,8,5,6.900000095,523
3.5,67.69999695,1.299999952,2.681296969,3.9,9,5,7.500000119,1319
2.599999905,68.80000305,0.600000024,3.107348753,3.9,10,5,7.900000096,437
3.299999952,67.80000305,2.299999952,1.325659864,3.9,11,5,6.500000239,697
3.700000048,20.89999962,2.200000048,1.878800169,3.9,12,5,7.299999833,587
2.599999905,73.19999695,1.799999952,1.028313375,3.9,13,5,7.400000096,903
2.299999952,70.40000153,1.700000048,0.805296007,3.9,14,5,7.299999952,1068
4,63.40000153,2.5,1.966432358,3.9,15,5,6.900000095,1338
3.299999952,67.30000305,2.299999952,1.325659864,3.9,16,5,8,766
3,67.80000305,1.700000048,1.598257806,3.9,17,5,6.499999881,953
3.799999952,66.5,1.200000048,3.163358534,3.9,18,5,6.800000191,1519
3.400000095,67.59999847,1.799999952,1.938139686,3.9,19,5,7.100000143,567
3,70.40000153,3.799999952,-0.114886495,3.9,20,5,7.499999761,1487
2.599999905,48.5,2.099999905,0.708212899,3.9,21,5,6.499999761,903
2.299999952,71,2.599999905,-0.09780641,3.9,22,5,6.599999905,1140
3.200000048,65.40000153,1.600000024,1.944810528,3.9,23,5,6.200000048,582
3.200000048,67.5,2.099999905,1.397948062,3.9,24,5,6.000000239,730
-0.200000003,49.20000076,1.399999976,-1.595464117,0.1,1,6,6.700000047,1641
-0.200000003,53.20000076,1.299999952,-1.434144121,0.1,3,6,9.30000019,1002
-0.800000012,57.5,1.200000048,-1.92569816,0.1,4,6,6.299999952,2300
-0.100000001,39.90000153,1.600000024,-1.777894675,0.1,5,6,6.400000095,1409
0.300000012,50.79999924,1.600000024,-1.326657672,0.1,6,6,7.400000095,414
-0.200000003,49.29999924,1.700000048,-2.026710175,0.1,7,6,6.400000095,888
0.200000003,46.5,1.899999976,-1.822851969,0.1,8,6,7.000000239,503
0.200000003,49.09999847,1.100000024,-0.63704238,0.1,9,6,8.69999981,1188
-0.800000012,52.40000153,0.300000012,0.807099288,0.1,10,6,8.599999905,423
-0.100000001,52.40000153,1.700000048,-1.913429924,0.1,11,6,7.600000143,676
0.400000006,5.30000019,1.5,-1.073394749,0.1,12,6,7,572
-1,56.09999847,1.399999976,-2.489758543,0.1,13,6,7.099999905,894
-1.200000048,51.59999847,1.299999952,-2.546425545,0.1,14,6,7.899999857,1135
0.800000012,46.70000076,1.700000048,-0.893907665,0.1,15,6,7.000000239,1264
0,50.29999924,2.099999905,-2.280638652,0.1,16,6,8.30000019,716
-0.400000006,51.20000076,1.299999952,-1.656600399,0.1,17,6,7.699999809,1019
0.200000003,51.29999924,0.800000012,0.010370513,0.1,18,6,9.099999905,1495
0.100000001,50.90000153,1.600000024,-1.552276178,0.1,19,6,6.900000095,585
-0.400000006,54.29999924,2.599999905,-3.248820183,0.1,20,6,7.800000191,1425
-0.400000006,31,1.600000024,-2.116322421,0.1,21,6,6.799999953,833
-1.100000024,54.40000153,1.700000048,-3.046232443,0.1,22,6,7.700000286,1141
-0.200000003,49,1.200000048,-1.261908141,0.1,23,6,7.5,515
-0.200000003,52.5,1.700000048,-2.026710175,0.1,24,6,7.799999953,779
0.300000012,43,0.600000024,0.674978088,0.4,1,7,9.099999905,1451
0.200000003,47.09999847,0.899999976,-0.225484808,0.4,3,7,10.30000019,865
0,50.59999847,0.600000024,0.357712322,0.4,4,7,9,2035
0.800000012,31.20000076,0.800000012,0.656677293,0.4,5,7,8.500000239,1348
0.600000024,43.20000076,1.100000024,-0.197076995,0.4,6,7,9.499999761,414
1,39.29999924,0.800000012,0.872112871,0.4,7,7,7.799999952,713
0.899999976,40.20000076,1.200000048,-0.044959815,0.4,8,7,9.19999981,504
0.100000001,45.29999924,0.600000024,0.463467575,0.4,9,7,11,1126
-1.299999952,51.20000076,0,12.32375003,0.4,10,7,11.30000019,369
0.200000003,46.09999847,1.399999976,-1.148316895,0.4,11,7,9.600000382,589
1.200000048,1.5,1.200000048,0.286935268,0.4,12,7,8.100000143,505
